kp,force_N,defl_l2_rad,q_delta_from_contact_rad,q_delta_from_home_rad,q0,q1,q2,q3,q4,q5,q6,q7,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,ctrl7
6.0,3.0261930532909687,0.04687483658927726,0.020792576486304733,0.1227819166923173,-0.09192838082266157,-1.5647264498357256,0.06935752641243813,0.7995159843912911,-0.18371495720275777,0.3714924889455875,0.8642709018977418,0.46198837216142774,-0.0907661740790745,-1.5740539116889516,0.07949997568169975,0.8047583967851385,-0.17255118360980648,0.4044870588976212,0.8896031074281817,0.47310384547819384
6.0,3.436393916518824,0.052478590004329716,0.022084453637824866,0.1236811570364147,-0.09314275726252502,-1.5618513439563537,0.06961806136938453,0.7993543659226086,-0.18343415463686627,0.37168724347101917,0.8642808201003579,0.461747133766086,-0.09097939709705864,-1.5734911018070623,0.08238773042066025,0.8058105559807165,-0.17257162973825135,0.40867095864064573,0.8921280194200907,0.4739058893025023
6.0,3.9907884140218295,0.06748751144873405,0.02244960333833095,0.12339394732948136,-0.09348391657770917,-1.561185724317366,0.07038760872323983,0.7987544845382761,-0.1835086200131406,0.3657744468421348,0.8712280114310258,0.46400744360486357,-0.091547991811683,-1.5719902754553572,0.09008840972455488,0.8086163138355913,-0.1726261527474377,0.41982802462204455,0.8988611180651812,0.4760446728339916
6.0,4.584437278796322,0.08364151667029505,0.025794967735280495,0.12379396665914873,-0.0938244613507875,-1.5605358500789543,0.07112617060847856,0.798149817815038,-0.18348421139188953,0.3607697969271176,0.877204632190673,0.46577474805751085,-0.09211658652630735,-1.5704894491036523,0.09778908902844952,0.8114220716904661,-0.17268067575662402,0.4309850906034433,0.9055942167102717,0.4781834563654809
6.0,5.011679388053384,0.09653641524654567,0.030363724827338113,0.12476359311958113,-0.09455286250587366,-1.5590142263020057,0.07167354978678524,0.7977116095250429,-0.1835583736971203,0.3565312574114606,0.8821808728903824,0.46737914450323914,-0.0925430325622756,-1.5693638293398735,0.10356459850637051,0.8135263900816221,-0.17272156801351377,0.4393528900894924,0.9106440406940897,0.4797875440140979
6.0,6.052979927981351,1.1099192709801557,0.4265023361841899,0.4373332404566143,-0.13270097889031213,-1.470401900040032,0.00039402051296579156,0.9562401065180359,-0.18633589427992925,0.12578887007694178,1.1281952139465958,0.5879214583678493,-0.12509507997451969,-1.4834415207047638,0.5444284886543387,0.974156027273203,-0.17584301028943103,1.0780949175245726,1.2961139381255227,0.6022329011918601
6.0,7.030229801257906,1.2463699967183992,0.6023954490384497,0.6061853140769976,-0.13472721575165594,-1.468038655959813,-0.0006954656981834908,0.9601235299529075,-0.1862737157121489,-0.0004616033758716944,1.2780437816753754,0.5932104999573032,-0.12665871543973664,-1.4793142482375752,0.5656053567400489,0.9818718613741086,-0.17599294856469344,1.1087768489734193,1.3146299593995217,0.6081145559034558
6.0,7.990939806973208,1.2914013791144248,0.6041149814561462,0.6080857472263617,-0.13815189084740645,-1.463964946356729,-0.0013917863388963991,0.9639954931575262,-0.18626109048877398,-0.0004841257940083059,1.275361168108546,0.599814822093621,-0.12850664826226577,-1.474436562594534,0.5906325644777065,0.9909905744024516,-0.176170148344549,1.1450373134129652,1.3365125299960658,0.6150656023807959
6.0,9.008746186127397,1.3474518143313734,0.6075117513047917,0.6118733346177848,-0.14445393538040946,-1.4549249070178958,-0.002268596843359315,0.9696590546057673,-0.1865197579152408,-0.0004760894913737001,1.2716319828991043,0.608748276654267,-0.13078102712076317,-1.4684332571877141,0.621435281693285,1.0022136058219506,-0.1763882403812943,1.1896655773385605,1.3634449245764282,0.6236207365067531
12.0,0.4737177748120749,0.00957238465756128,0.006373025037531381,0.1118647633258591,-0.08974607772925496,-1.573436165479452,0.05656549780742407,0.796309889911083,-0.17893779414220531,0.36759953543895396,0.8664542536305977,0.46540741763464827,-0.08906038993520146,-1.5785563907440665,0.05639793777001584,0.7963411232205141,-0.1723876145822475,0.37101586095342487,0.8694038114929101,0.4666874948837259
12.0,0.9318065070648346,0.013365238859247962,0.010786543449773957,0.11475058063217751,-0.09149990912113729,-1.571403284608601,0.06087043143660168,0.7957979122452159,-0.17872407990867958,0.36823144741978553,0.8663690972835913,0.4650758951866935,-0.08927361295318559,-1.5779935808621772,0.05928569250897633,0.7973932824160922,-0.17240806071069237,0.3751997606964494,0.8719287234848191,0.4674895387080344
12.0,1.5463851724324091,0.017288681747594806,0.013360436771645823,0.11676357369499234,-0.09031679397449355,-1.572111445399341,0.06313361745074944,0.7986890758701454,-0.17848362632955073,0.3690360835172267,0.8662374018914768,0.4646257310722945,-0.08955791031049776,-1.5772431676863246,0.06313603216092364,0.7987961613435296,-0.17243532221528554,0.38077829368714877,0.8752952728073644,0.46855893047377906
